Company Name, Email, Telephone, Fax, Website
PENTAIR FOOD & BEVERAGE PROCESS SOLUTIONS, sales.uk@pentair.com, +44 (0)1905 797 280, NaN, http://www.foodandbeverage.pentair.com
PETAINER UK HOLDINGS LTD, craig.pope@petainer.com, +44 (0)207 387 4294, NaN, www.petainer.com
PIPELINE PRODUCTS LTD, matthew@pipeline-products.co.uk, +44 (0)1275 873 103, +44 (0)1275 873 801, http://www.pipeline-products.co.uk/
POLYKEG UK LIMITED, vmoore@polykeg.co.uk, +44 (0)1388 433 433, NaN, http://www.polykeg.it
PORTER LANCASTRIAN LIMITED, sales@porta.co.uk, +44 (0)870 8710 111, +44 (0)870 8710 112, http://www.porta.co.uk
PROCESS TECHNOLOGY SOLUTIONS UK LTD, doug.broughton@icloud.com, +44 (0)1844 353 969, NaN, https://www.ptsprocess.com/
PROGASES UK LTD, http://www.progasesuk.com, +44 (0)7387 844 362, Email: jon@progasesuk.com, NaN
PROJECTIVE LTD, info@projectiveltd.co.uk, +44 (0)1252 360 400, +44 (0)1252 626 867, http://www.projectiveltd.co.uk/
PROMINENT FLUID CONTROLS (UK) LTD, sales@prominent.co.uk, +44 (0)1530 560555, NaN, http://www.prominent.co.uk
PUREMALT PRODUCTS LIMITED, sales@prominent.co.uk, +44 (0)1530 560555, NaN, http://www.prominent.co.uk
QCL, sales@qclscientific.com, +44 (0)1342 820 820, +44 (0)1342 820 825, http://www.qclscientific.com/
RANKIN BROTHERS & SONS, sales@rankincork.co.uk, +44 (0)1844 203 100, NaN, http://www.rankincork.co.uk
REFLEX LABEL PLUS, melissaa@reflexlabels.co.uk, +44 (0)1455 852 400, NaN, https://www.reflexlabelplus.co.uk/
Richard Shardlow, melissaa@reflexlabels.co.uk, +44 (0)1455 852 400, NaN, https://www.reflexlabelplus.co.uk/
RLBS LIMITED Incorporating CFBS, sales@rlbs.ltd.uk, +44 (0)1978 855388, +44 (0)1978 851476, http://www.rlbs.ltd.uk
ROTECH (SWINDON) LTD, enquiries@rotechkeg.com, +44 (0)1793 764700, +44 (0)1793 764554, http://www.rotechkeg.com
RYEBECK LTD, sales@ryebeckltd.com, +44 (0)800 689 3216, NaN, https://www.ryebeckltd.com/
SAMANTHA BROOKE, cereal.enquiries@syngenta.com, +44 (0)1223 883 400, +44 (0)1223 882 195, https://www.syngenta.co.uk/
SAMSON CONTROLS LTD, sales@samsoncontrols.co.uk, +44 (0)1737 766 391, NaN, http://www.samsoncontrols.co.uk
SCHAEFER WERKE GMBH, mhickman@schaefer-container-systems.com, +44 (0)7538 069 886, NaN, https://www.schaefer-container-systems.com/en/
SEEPEX UK Ltd, sales.uk@seepex.com, +44 (0)1935 472 376, NaN, http://www.seepex.com
SHURFLO, sales@everpure-europe.com, +44 (0)845 003 9972, NaN, http://www.pentair.com
SIDEL UK LIMITED, enquiries.uk@sidel.com, +44 (0)1707 292 820, NaN, http://www.sidel.com
SIEMENS AUTOMATION & DRIVE TECHNOLOGIES, sara.nichols@siemens.com, +44 (0)845 850 7600, +44 (0)161 446 5471, http://www.siemens.co.uk/automation
SIMPSONS MALT, orderoffice@simpsonsmalt.co.uk, +44 (0)1289 330 033, NaN, http://www.simpsonsmalt.co.uk
SKINNY BRANDS LTD, anthony@skinnybrands.co.uk, +44 (0)161 726 5882, NaN, www.skinnybrands.co.uk
SOCIETY OF DAIRY TECHNOLOGY (SDT), execdirector@sdt.org, +44 (0)845 528 0418, NaN, https://www.sdt.org/pages/
SOCIETY OF INDEPENDENT BREWERS (SIBA), riponoffice@siba.co.uk, +44 (0)1765 640 441, NaN, https://www.siba.co.uk/
SOLVAIR LIMITED, info@solvair.co.uk, +44 (0)1473 320 307, NaN, http://www.solvair.co.uk
SOPURA LIMITED, uk@sopura.com, +44 (0)1293 229 869, NaN, http://www.sopura.com
SOUFFLET MALT UK LTD, kstokes@soufflet.com, +44 (0)1283 501 250, NaN, www.soufflet.com
SOVEREIGN BEVERAGE COMPANY LTD, info@sovbev.com, +44 (0)1254 584 465, NaN, http://www.sovereignbeverage.com
SPL INTERNATIONAL, enquiries@spl-int.com, +44 (0)151 356 5985, +44 (0)151 355 0416, https://spl-int.com/
ST PETER’S BREWERY CO LTD, beers@stpetersbrewery.co.uk, +44 (0)1986 782 322, +44 (0)1986 782 505, http://www.stpetersbrewery.co.uk/
STAINLESS STEEL VESSELS LTD, sales@ssvlimited.co.uk, +44 (0)113 873 0021, NaN, https://ssvlimited.co.uk/
STANWELL TECHNIC LTD, sales@stanwelltechnic.co.uk, +44 (0)1484 660 500, +44 (0)1484 660 501, http://www.stanwelltechnic.co.uk
STEINER HOPS LIMITED, enquiries@hopsteiner.co.uk, +44 (0)1992 572 331, NaN, http://www.hopsteiner.com
STEVENSON REEVES LTD, sales@stevenson-reeves.co.uk, +44 (0)131 445 7151, NaN, http://www.stevenson-reeves.co.uk
SUEZ, enquiries_uk@ondeo-is.com, +44 (0)191 491 4274, +44 (0)191 491 4277, http://www.suezwater.co.uk
SYNERGY ASSET SERVICES LTD, email@synrec.co.uk, +44 (0)1227 462 008, +44 (0)1227 457 104, https://www.synergy-recycling.co.uk/
SYNGENTA UK LTD, cereal.enquiries@syngenta.com, +44 (0)1223 883 400, +44 (0)1223 882 195, https://www.syngenta.co.uk/
T & J INSTALLATIONS, info@tjinstall.co.uk, +44 (0)121 783 8925, NaN, http://www.tandjinstallations.com
TANKBEER UK LTD, sander.huisman@tankbeer.com, +44 (0)20 3137 0723, NaN, http://www.tankbeer.com/
TANKS & VESSELS INDUSTRIES LTD, alanh@tanksandvessels.com, +44 (0)1302 867 328, NaN, http://www.tanksandvessels.com
TAPHANDLES LLC, sales@taphandles.com, +31 634 059 579, +1 206 462 6801, http://www.taphandles.com/
TEC-FLO LIMITED, info@tec-flo.co.uk, +44 (0)161 703 7185, +44 (0)161 703 7186, https://www.tec-flo.co.uk/
THE BREWER’S ASSOCIATION SCOTLAND – TBAS, caroline@tbas.scot, +44 (0)7557 964291, NaN, https://tbas.scot/
THE CO2 COMPANY LTD, sales@co2gas.co.uk, +44 (0)208 884 4433, NaN, www.co2gas.co.uk
THE INTERNATIONAL CENTRE FOR BREWING AND DISTILLING (ICBD), icbd@hw.ac.uk, +44 (0)131 451 3466, NaN, https://www.hw.ac.uk/
THE WILD BEER CO, andrew@wildbeerco.com, +44(0)1749 838 742, NaN, http://wildbeerco.com/
THERMO FISHER SCIENTIFIC, cdx.uk.sales@thermofisher.com, +44 (0)1442 868940, +44 (0)1442 868941, http://www.thermofisher.com
THIELMANN UK, marketing@thielmann.com, +44 (0)1924 885 010, NaN, http://www.thielmann.com
THINK DRINKS LTD, tom@thinkdrinks.co.uk, +44 (0)1278 760 007, +44 (0)1278 760 227, http://www.thinkdrinks.co.uk
THREE NATIONS DISPENSE LIMITED, richard.cousens@threenations.co.uk, +44 (0)333 320 9814, NaN, http://www.threenations.co.uk
TIMOTHY O’ROURKE, richard.cousens@threenations.co.uk, +44 (0)333 320 9814, NaN, http://www.threenations.co.uk
TOTAL DESIGN AND MANAGEMENT – UK LTD, doug.broughton@icloud.com, +44 (0)1844 353 969, NaN, https://www.ptsprocess.com/
TOTALLY NATURAL SOLUTIONS LTD, office@totallynaturalsolutions.com, +44 (0)1622 872 105, NaN, https://www.totallynaturalsolutions.com/
TVS SUPPLY CHAIN SOLUTIONS LTD, info@tvsscs.com, +44 (0)1257 265 531, NaN, https://www.tvsscs.com/
UB PLASTICS LTD, stevebrown@ubplastics.co.uk, +44 (0)1283 565 912, NaN, http://www.ubplastics.co.uk
UBC GROUP UK, dasha.zaseyeva@hotmail.com, +44 (0)7791 867 761, NaN, http://beer-co.eu/
UNIVERSAL DISPENSE SYSTEMS, neil.tanner@universaldispensesystems.com, +44 (0)20 8570 4455, +44 (0)20 8752 2389, http://www.universaldispensesystems.com
VALPAR MICRO MATIC LTD, info@valpar.co.uk, +44 (0)28 9145 4544, +44 (0)28 9145 4544, http://www.valpar.co.uk
VEGA CONTROLS LTD, info.uk@vega.com, +44 (0) 1444 870 055, +44 (0) 1444 870 080, https://www.vega.com/uk
VEOLIA ENERGY UK PLC, nick.burchett@veolia.com, +44 (0)1403 224727, NaN, http://www.veolia.co.uk
VEOLIA WATER TECHNOLOGIES, sales.uk@veoliawater.com, +44 (0)1628 897000, +44 (0)1628 897001, http://www.veoliawatertechnologies.co.uk
VIANET LTD, steven.alton@vianetplc.com, +44 (0)1642 358 800, NaN, http://vianetplc.com/
VIGO LTD, sales@vigoltd.com, +44 (0)1404 892 100, NaN, http://www.vigoltd.com
WARMINSTER MALTINGS LTD, chris.garratt@warminster-malt.co.uk, +44 (0)1985 212 014, NaN, http://www.warminster-malt.co.uk/
WELBILT (HALESOWEN) LTD, richard.booth@welbilt.com, +44 (0)121 501 2566, +44 (0)121 550 0873, https://www.welbilt.com/
WILD GOOSE CANNING – MEHEEN MANUFACTURING, j.schwierske@wildgoose-meheen.com, +1 720 406 7442, NaN, https://www.wgcanning.com/
WILLIS PUBLICITY, sales@willispublicity.co.uk, +44 (0)1582 764 040, +44 (0)1582 767 575, https://willispublicity.co.uk/
Wm CROXSON & SON LTD (t/a CROXSONS), hello@croxsons.com, +44 (0)20 8337 2945, NaN, http://www.croxsons.com
WREXHAM LAGER BEER CO LTD, ian.dale@wrexhamlager.co.uk, +44 (0)1978 266 222, NaN, https://www.wrexhamlager.co.uk/
WYE VALLEY BREWERY LTD, sales@wyevalleybrewery.co.uk, +44(0)1885 490 505, NaN, https://www.wyevalleybrewery.co.uk/
XYLEM, NaN, +44 (0)1992 450 145, NaN, http://www.xylem.com/Flojet
YOLONG INDUSTRIAL CO LIMITED, info@yolongbrewtech.com, +86 574 6572 3572, NaN, https://yolongbrewtech.com
ZERODEGREES, blackheath@zerodegrees.co.uk, +44 (0)208 852 5619, NaN, https://www.zerodegrees.co.uk/
